name,orf_name,chr,start,end,length,strand,orf_class,ontology
NPP1,YCR026C,3,164107.0,166335.0,2228.0,-,Verified,"GO:0005575,GO:0004551,GO:0004528,GO:0047429,GO:0016036,GO:0006796,GO:0017111"
RHB1,YCR027C,3,167366.0,167995.0,629.0,-,Verified,"GO:0042147,GO:0015809,GO:0015819,GO:0019897,GO:0003924"
FEN2,YCR028C,3,170882.0,172420.0,1538.0,-,Verified,"GO:0005886,GO:0015887,GO:0015233,GO:0006897"
RIM1,YCR028C-A,3,172946.0,173436.0,490.0,-,Verified,"GO:0000002,GO:0005739,GO:0042645,GO:0003697,GO:0006264"
SYP1,YCR030C,3,173822.0,176434.0,2612.0,-,Verified,"GO:0005935,GO:0005934,GO:0008150,GO:0003674,GO:0001400"
RPS14A,YCR031C,3,177496.0,178216.0,720.0,-,Verified,"GO:0003723,GO:0003735,GO:0000028,GO:0022627,GO:0006412,GO:0032040,GO:0000462,GO:0000723"
BPH1,YCR032W,3,179516.0,186019.0,6503.0,+,Verified,"GO:0009268,GO:0003674,GO:0005739,GO:0007047,GO:0005625,GO:0000300,GO:0006886"
SNT1,YCR033W,3,186485.0,190165.0,3680.0,+,Verified,"GO:0016575,GO:0045835,GO:0017136,GO:0045129,GO:0000118"
FEN1,YCR034W,3,190588.0,191631.0,1043.0,+,Verified,"GO:0005789,GO:0030497,GO:0030148,GO:0005783,GO:0009922,GO:0016192"
RRP43,YCR035C,3,191830.0,193014.0,1184.0,-,Verified,"GO:0006402,GO:0000175,GO:0000176,GO:0000177,GO:0006364,GO:0000178,GO:0016072"
RBK1,YCR036W,3,193293.0,194294.0,1001.0,+,Verified,"GO:0006014,GO:0004747,GO:0005524,GO:0005737,GO:0005634"
PHO87,YCR037C,3,194410.0,197181.0,2771.0,-,Verified,"GO:0016020,GO:0005315,GO:0006817,GO:0000723"
BUD5,YCR038C,3,197617.0,199545.0,1928.0,-,Verified,"GO:0005085,GO:0007120,GO:0007264,GO:0007121,GO:0007124,GO:0005088,GO:0005935,GO:0000131,GO:0000282"
YCR038W-A,YCR038W-A,3,199289.0,199414.0,125.0,+,Dubious,"GO:0005575,GO:0003674,GO:0008150"
MATALPHA2,YCR039C,3,199542.0,200174.0,632.0,-,Verified,"GO:0003714,GO:0005634,GO:0007532,GO:0007535,GO:0006357,GO:0008301,GO:0043565"
MATALPHA1,YCR040W,3,200438.0,200965.0,527.0,+,Verified,"GO:0003713,GO:0005634,GO:0007532,GO:0006357"
YCR041W,YCR041W,3,200907.0,201239.0,332.0,+,Dubious,"GO:0003674,GO:0008150,GO:0005575"
TAF2,YCR042C,3,201170.0,205393.0,4223.0,-,Verified,"GO:0005669,GO:0000114,GO:0006367,GO:0016251"
YCR043C,YCR043C,3,206257.0,206640.0,383.0,-,Uncharacterized,"GO:0005794,GO:0008150,GO:0003674"
PER1,YCR044C,3,206873.0,207946.0,1073.0,-,Verified,"GO:0030026,GO:0000329,GO:0003674,GO:0005783,GO:0006506"
YCR045C,YCR045C,3,208131.0,209606.0,1475.0,-,Uncharacterized,"GO:0008236,GO:0008150,GO:0005575"
YCR045W-A,YCR045W-A,3,208747.0,209097.0,350.0,+,Dubious,"GO:0008150,GO:0005575,GO:0003674"
IMG1,YCR046C,3,209910.0,210419.0,509.0,-,Verified,"GO:0003735,GO:0005762,GO:0006412,GO:0005739"
BUD23,YCR047C,3,210714.0,211541.0,827.0,-,Verified,"GO:0000282,GO:0008757,GO:0005737,GO:0005634,GO:0000447,GO:0000154,GO:0016435,GO:0000056"
YCR047W-A,YCR047W-A,3,211297.0,211503.0,206.0,+,Dubious,"GO:0008150,GO:0003674,GO:0005575"
YCR049C,YCR049C,3,211867.0,212313.0,446.0,-,Dubious,"GO:0003674,GO:0008150,GO:0005575"
ARE1,YCR048W,3,211925.0,213757.0,1832.0,+,Verified,"GO:0005783,GO:0004772,GO:0016125"
YCR050C,YCR050C,3,213460.0,213768.0,308.0,-,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
YCR051W,YCR051W,3,214067.0,214735.0,668.0,+,Uncharacterized,"GO:0003674,GO:0008150,GO:0005737,GO:0005634"
RSC6,YCR052W,3,214990.0,216441.0,1451.0,+,Verified,"GO:0008094,GO:0016586,GO:0006368,GO:0043044,GO:0000086"
THR4,YCR053W,3,216693.0,218237.0,1544.0,+,Verified,"GO:0004795,GO:0006566,GO:0005737,GO:0006897,GO:0005634"
CTR86,YCR054C,3,218372.0,220063.0,1691.0,-,Verified,"GO:0008150,GO:0003674,GO:0005737"
PWP2,YCR057C,3,220453.0,223224.0,2771.0,-,Verified,"GO:0005737,GO:0030515,GO:0000462,GO:0000910,GO:0030010,GO:0030686,GO:0032040,GO:0000480,GO:0000447,GO:0000472,GO:0005730,GO:0034388"
YIH1,YCR059C,3,223450.0,224226.0,776.0,-,Verified,"GO:0003674,GO:0006521,GO:0005737,GO:0005634"
TAH1,YCR060W,3,224395.0,224730.0,335.0,+,Verified,"GO:0005737,GO:0005634,GO:0051087,GO:0006457"
YCR061W,YCR061W,3,225559.0,227454.0,1895.0,+,Uncharacterized,"GO:0003674,GO:0008361,GO:0005737"
YCR064C,YCR064C,3,228091.0,228501.0,410.0,-,Dubious,"GO:0003674,GO:0008150,GO:0005575"
BUD31,YCR063W,3,228314.0,228787.0,473.0,+,Verified,"GO:0008380,GO:0000282,GO:0003674,GO:0005634"
HCM1,YCR065W,3,229306.0,231000.0,1694.0,+,Verified,"GO:0003704,GO:0005634,GO:0000083,GO:0000723,GO:0006357,GO:0000115,GO:0051300,GO:0043565"
RAD18,YCR066W,3,231496.0,232959.0,1463.0,+,Verified,"GO:0004842,GO:0003697,GO:0006281,GO:0000790,GO:0006301,GO:0008094"
SED4,YCR067C,3,233121.0,236318.0,3197.0,-,Verified,"GO:0003674,GO:0005783,GO:0006888,GO:0030176"
ATG15,YCR068W,3,237210.0,238772.0,1562.0,+,Verified,"GO:0016021,GO:0005775,GO:0006914,GO:0006624,GO:0030397,GO:0016298,GO:0034496"
CPR4,YCR069W,3,239051.0,240007.0,956.0,+,Verified,"GO:0003755,GO:0008150,GO:0016020"
IMG2,YCR071C,3,240099.0,240539.0,440.0,-,Verified,"GO:0003735,GO:0006412,GO:0005762,GO:0000723,GO:0005739"
RSA4,YCR072C,3,240801.0,242348.0,1547.0,-,Verified,"GO:0003674,GO:0005730,GO:0000027,GO:0042254,GO:0005840"
SSK22,YCR073C,3,242585.0,246580.0,3995.0,-,Verified,"GO:0004709,GO:0007231,GO:0000168,GO:0006468,GO:0005575,GO:0010526"
SOL2,YCR073W-A,3,246960.0,247907.0,947.0,+,Verified,"GO:0017057,GO:0006409,GO:0005829,GO:0003674,GO:0000723,GO:0005737"
ERS1,YCR075C,3,248030.0,248812.0,782.0,-,Verified,"GO:0005768,GO:0015184,GO:0015811,GO:0000324"
YCR075W-A,YCR075W-A,3,248972.0,249199.0,227.0,+,Uncharacterized,"GO:0003674,GO:0005575,GO:0008150"
YCR076C,YCR076C,3,249290.0,250042.0,752.0,-,Uncharacterized,"GO:0003674,GO:0005575,GO:0008150"
PAT1,YCR077C,3,250235.0,252625.0,2390.0,-,Verified,"GO:0003674,GO:0007059,GO:0006446,GO:0022627,GO:0000932,GO:0000290"
PTC6,YCR079W,3,252842.0,254170.0,1328.0,+,Verified,"GO:0005739,GO:0004722,GO:0005758,GO:0016236,GO:0000422,GO:0043085,GO:0005759,GO:0006470"
SRB8,YCR081W,3,254368.0,258651.0,4283.0,+,Verified,"GO:0000122,GO:0005667,GO:0016455,GO:0000723"
YCR081C-A,YCR081C-A,3,258412.0,258648.0,236.0,-,Dubious,"GO:0008150,GO:0003674,GO:0005575"
AHC2,YCR082W,3,258880.0,259266.0,386.0,+,Verified,"GO:0005737,GO:0005634,GO:0003674,GO:0000723"
TRX3,YCR083W,3,259575.0,259958.0,383.0,+,Verified,"GO:0005739,GO:0006979,GO:0015036"
TUP1,YCR084C,3,260308.0,262449.0,2141.0,-,Verified,"GO:0005634,GO:0016565,GO:0016481,GO:0016584,GO:0017053"
YCR085W,YCR085W,3,262913.0,263266.0,353.0,+,Dubious,"GO:0003674,GO:0008150,GO:0005575"
CSM1,YCR086W,3,263389.0,263961.0,572.0,+,Verified,"GO:0045132,GO:0003674,GO:0005635,GO:0045143,GO:0005730,GO:0006260,GO:0000723,GO:0042493,GO:0033551"
YCR087W,YCR087W,3,263973.0,264488.0,515.0,+,Dubious,"GO:0003674,GO:0008150,GO:0005575"
LUG1,YCR087C-A,3,264003.0,264464.0,461.0,-,Uncharacterized,"GO:0003674,GO:0008150,GO:0005730"
ABP1,YCR088W,3,265065.0,266843.0,1778.0,+,Verified,"GO:0005856,GO:0005938,GO:0005515,GO:0005737,GO:0030010,GO:0000147"
FIG2,YCR089W,3,267431.0,272260.0,4829.0,+,Verified,"GO:0009277,GO:0003674,GO:0000755,GO:0000753"
YCR090C,YCR090C,3,272312.0,272860.0,548.0,-,Uncharacterized,"GO:0008150,GO:0003674,GO:0005634,GO:0005737"
KIN82,YCR091W,3,274401.0,276563.0,2162.0,+,Verified,"GO:0004672,GO:0005575,GO:0019236,GO:0006468"
MSH3,YCR092C,3,276761.0,279817.0,3056.0,-,Verified,"GO:0000735,GO:0032135,GO:0000710,GO:0005634,GO:0005737,GO:0006312,GO:0006310,GO:0000403,GO:0000404,GO:0000406,GO:0006298,GO:0032302"
CDC39,YCR093W,3,280114.0,286440.0,6326.0,+,Verified,"GO:0051726,GO:0000122,GO:0005634,GO:0030015,GO:0006357,GO:0005737,GO:0000289,GO:0000175,GO:0000749,GO:0000288,GO:0007124,GO:0006368"
CDC50,YCR094W,3,286759.0,287934.0,1175.0,+,Verified,"GO:0000080,GO:0005770,GO:0000299,GO:0051666,GO:0005802,GO:0006897,GO:0045332,GO:0004012"
OCA4,YCR095C,3,288167.0,289255.0,1088.0,-,Uncharacterized,"GO:0008150,GO:0003674,GO:0005737"
YCR095W-A,YCR095W-A,3,289636.0,289794.0,158.0,+,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
HMRA2,YCR096C,3,293176.0,293535.0,359.0,-,silenced_gene%3AVerified,"GO:0008150,GO:0005575,GO:0003674"
HMRA1,YCR097W,3,293832.0,294318.0,486.0,+,silenced_gene%3AVerified,"GO:0003714,GO:0005634,GO:0007532"
YCR097W-A,YCR097W-A,3,294436.0,294702.0,266.0,+,Dubious,"GO:0005575,GO:0003674,GO:0008150"
GIT1,YCR098C,3,297046.0,298602.0,1556.0,-,Verified,"GO:0005886,GO:0001407,GO:0001406"
YCR099C,YCR099C,3,300829.0,301296.0,467.0,-,Uncharacterized,"GO:0003674,GO:0008150,GO:0005575"
YCR100C,YCR100C,3,301268.0,302218.0,950.0,-,Uncharacterized,"GO:0003674,GO:0008150,GO:0005575"
YCR101C,YCR101C,3,302479.0,303027.0,548.0,-,Uncharacterized,"GO:0008150,GO:0003674,GO:0005624"
YCR102C,YCR102C,3,304358.0,305464.0,1106.0,-,Uncharacterized,"GO:0003674,GO:0005575,GO:0046688"
YCR102W-A,YCR102W-A,3,306732.0,306929.0,197.0,+,Dubious,"GO:0003674,GO:0008150,GO:0005575"
PAU3,YCR104W,3,307798.0,308172.0,374.0,+,Verified,"GO:0003674,GO:0005575,GO:0008150"
ADH7,YCR105W,3,309067.0,310152.0,1085.0,+,Verified,"GO:0008106,GO:0006066,GO:0005625"
RDS1,YCR106W,3,310955.0,313453.0,2498.0,+,Verified,"GO:0009410,GO:0003677,GO:0005634,GO:0016563"
AAD3,YCR107W,3,313887.0,314978.0,1091.0,+,Verified,"GO:0005575,GO:0006081,GO:0018456,GO:0009636"
YCR108C,YCR108C,3,315994.0,316185.0,191.0,-,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
COS7,YDL248W,4,1802.0,2953.0,1151.0,+,Verified,"GO:0004872,GO:0008150,GO:0005739"
YDL247W-A,YDL247W-A,4,3762.0,3836.0,74.0,+,Dubious,"GO:0003674,GO:0008150,GO:0005575"
MPH2,YDL247W,4,5985.0,7814.0,1829.0,+,Verified,"GO:0005363,GO:0005886,GO:0008643,GO:0015144"
SOR2,YDL246C,4,8683.0,9756.0,1073.0,-,Uncharacterized,"GO:0016616,GO:0019318,GO:0005575"
HXT15,YDL245C,4,11657.0,13360.0,1703.0,-,Verified,"GO:0008645,GO:0005355,GO:0005353,GO:0015578,GO:0005886"
THI13,YDL244W,4,16204.0,17226.0,1022.0,+,Verified,"GO:0009228,GO:0005575,GO:0003674"
AAD4,YDL243C,4,17577.0,18566.0,989.0,-,Verified,"GO:0005575,GO:0018456,GO:0006081,GO:0009636"
YDL242W,YDL242W,4,18959.0,19312.0,353.0,+,Dubious,"GO:0003674,GO:0008150,GO:0005575"
YDL241W,YDL241W,4,20635.0,21006.0,371.0,+,Uncharacterized,"GO:0003674,GO:0008150,GO:0005575"
YDL240C-A,YDL240C-A,4,22471.0,22608.0,137.0,-,Dubious,"GO:0005575,GO:0003674,GO:0008150"
LRG1,YDL240W,4,22823.0,25876.0,3053.0,+,Verified,"GO:0009272,GO:0007264,GO:0005100,GO:0005737,GO:0005739,GO:0005935"
ADY3,YDL239C,4,26403.0,28775.0,2372.0,-,Verified,"GO:0030435,GO:0005819,GO:0005628,GO:0006461,GO:0005515,GO:0030476"
GUD1,YDL238C,4,28985.0,30454.0,1469.0,-,Verified,"GO:0016811,GO:0046098,GO:0008892,GO:0005737"
LRC1,YDL237W,4,30657.0,31829.0,1172.0,+,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
PHO13,YDL236W,4,32296.0,33234.0,938.0,+,Verified,"GO:0004035,GO:0003869,GO:0016576,GO:0006470,GO:0005634,GO:0005737"
YPD1,YDL235C,4,33415.0,33918.0,503.0,-,Verified,"GO:0007234,GO:0006970,GO:0016772,GO:0005737"
GYP7,YDL234C,4,34238.0,36478.0,2240.0,-,Verified,"GO:0005097,GO:0016192,GO:0005737"
YDL233W,YDL233W,4,36798.0,38174.0,1376.0,+,Uncharacterized,"GO:0003674,GO:0008150,GO:0005737,GO:0005634"
OST4,YDL232W,4,38488.0,38598.0,110.0,+,Verified,"GO:0006487,GO:0004579,GO:0005789,GO:0030674,GO:0008250"
BRE4,YDL231C,4,38868.0,42245.0,3377.0,-,Verified,"GO:0016021,GO:0003674,GO:0006897"
PTP1,YDL230W,4,42701.0,43708.0,1007.0,+,Verified,"GO:0004725,GO:0006470,GO:0005737,GO:0005739"
SSB1,YDL229W,4,44066.0,45907.0,1841.0,+,Verified,"GO:0005625,GO:0016887,GO:0006450,GO:0051082,GO:0006412,GO:0005844,GO:0051083,GO:0006415"
YDL228C,YDL228C,4,45278.0,45919.0,641.0,-,Dubious,"GO:0008150,GO:0005575,GO:0003674"
HO,YDL227C,4,46272.0,48032.0,1760.0,-,Verified,"GO:0007533,GO:0004519,GO:0005634,GO:0000728"
GCS1,YDL226C,4,51116.0,52174.0,1058.0,-,Verified,"GO:0005793,GO:0006888,GO:0006890,GO:0008060,GO:0005856,GO:0030037,GO:0005802,GO:0005768,GO:0003779,GO:0043001"
SHS1,YDL225W,4,52446.0,54101.0,1655.0,+,Verified,"GO:0005200,GO:0005940,GO:0000902,GO:0000910,GO:0030010"
WHI4,YDL224C,4,54398.0,56347.0,1949.0,-,Verified,"GO:0003723,GO:0008361,GO:0005737"
HBT1,YDL223C,4,57266.0,60406.0,3140.0,-,Verified,"GO:0003674,GO:0000753,GO:0005937"
FMP45,YDL222C,4,60873.0,61802.0,929.0,-,Verified,"GO:0007047,GO:0003674,GO:0005938,GO:0016021,GO:0030437,GO:0005739"
YDL221W,YDL221W,4,62012.0,62563.0,551.0,+,Dubious,"GO:0003674,GO:0008150,GO:0005575"
CDC13,YDL220C,4,62245.0,65019.0,2774.0,-,Verified,"GO:0000723,GO:0000783,GO:0016233,GO:0007004,GO:0032210,GO:0043047"
DTD1,YDL219W,4,65243.0,65766.0,523.0,+,Verified,"GO:0019478,GO:0005737,GO:0006412,GO:0051500"
YDL218W,YDL218W,4,66494.0,67447.0,953.0,+,Uncharacterized,"GO:0008150,GO:0003674,GO:0005737"
TIM22,YDL217C,4,67984.0,68607.0,623.0,-,Verified,"GO:0008565,GO:0045039,GO:0042721,GO:0005739"
RRI1,YDL216C,4,68998.0,70320.0,1322.0,-,Verified,"GO:0000338,GO:0004222,GO:0008180,GO:0000754"
GDH2,YDL215C,4,70641.0,73919.0,3278.0,-,Verified,"GO:0004352,GO:0006807,GO:0005625,GO:0005739"
PRR2,YDL214C,4,74447.0,76546.0,2099.0,-,Verified,"GO:0004702,GO:0005634,GO:0046020,GO:0031138"
NOP6,YDL213C,4,77290.0,77967.0,677.0,-,Verified,"GO:0005730,GO:0006364,GO:0003723,GO:0042274"
SHR3,YDL212W,4,78427.0,79059.0,632.0,+,Verified,"GO:0006888,GO:0030176,GO:0006865,GO:0051082,GO:0006457"
YDL211C,YDL211C,4,79295.0,80413.0,1118.0,-,Uncharacterized,"GO:0000324,GO:0008150,GO:0003674"
UGA4,YDL210W,4,84271.0,85986.0,1715.0,+,Verified,"GO:0000329,GO:0015489,GO:0015847,GO:0015812,GO:0015495"
CWC2,YDL209C,4,86208.0,87227.0,1019.0,-,Verified,"GO:0003674,GO:0005681,GO:0000398"
NHP2,YDL208W,4,87513.0,87983.0,470.0,+,Verified,"GO:0000154,GO:0005732,GO:0031118,GO:0006364,GO:0030515,GO:0009982,GO:0031120"
GLE1,YDL207W,4,88249.0,89865.0,1616.0,+,Verified,"GO:0005643,GO:0016973,GO:0005739,GO:0000822"
YDL206W,YDL206W,4,90177.0,92465.0,2288.0,+,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
HEM3,YDL205C,4,92763.0,93746.0,983.0,-,Verified,"GO:0006783,GO:0004418,GO:0005737,GO:0005634"
RTN2,YDL204W,4,94606.0,95787.0,1181.0,+,Verified,"GO:0008150,GO:0003674,GO:0005783"
ACK1,YDL203C,4,96083.0,97954.0,1871.0,-,Uncharacterized,"GO:0008150,GO:0003674,GO:0005739"
MRPL11,YDL202W,4,98476.0,99225.0,749.0,+,Verified,"GO:0003735,GO:0006412,GO:0005762,GO:0005739"
TRM8,YDL201W,4,99562.0,100422.0,860.0,+,Verified,"GO:0030488,GO:0005515,GO:0005634,GO:0008176,GO:0042254"
MGT1,YDL200C,4,100502.0,101068.0,566.0,-,Verified,"GO:0003908,GO:0006307,GO:0005634"
YDL199C,YDL199C,4,101291.0,103354.0,2063.0,-,Uncharacterized,"GO:0006810,GO:0022891,GO:0016020"
GGC1,YDL198C,4,103650.0,104552.0,902.0,-,Verified,"GO:0005743,GO:0000002,GO:0006879,GO:0001408,GO:0001409,GO:0005739"
ASF2,YDL197C,4,104918.0,106495.0,1577.0,-,Verified,"GO:0003674,GO:0005634,GO:0030466,GO:0000784"
YDL196W,YDL196W,4,106742.0,107071.0,329.0,+,Dubious,"GO:0003674,GO:0008150,GO:0005575"
SEC31,YDL195W,4,107209.0,111030.0,3821.0,+,Verified,"GO:0030127,GO:0006888,GO:0005198"
SNF3,YDL194W,4,111581.0,114235.0,2654.0,+,Verified,"GO:0005886,GO:0009749,GO:0004872,GO:0005536,GO:0007165,GO:0005355"
NUS1,YDL193W,4,114673.0,115800.0,1127.0,+,Verified,"GO:0005783,GO:0005811,GO:0004659,GO:0032940,GO:0005635"
ARF1,YDL192W,4,116322.0,116867.0,545.0,+,Verified,"GO:0006891,GO:0005798,GO:0005829,GO:0003924,GO:0006893,GO:0000723,GO:0006888"
RPL35A,YDL191W,4,117665.0,118518.0,853.0,+,Verified,"GO:0006412,GO:0003735,GO:0022625"
UFD2,YDL190C,4,118708.0,121593.0,2885.0,-,Verified,"GO:0006511,GO:0006950,GO:0005737,GO:0005634,GO:0006512,GO:0034450"
RBS1,YDL189W,4,122079.0,123590.0,1511.0,+,Verified,"GO:0005737,GO:0003674,GO:0006012"
PPH22,YDL188C,4,123866.0,124999.0,1133.0,-,Verified,"GO:0000082,GO:0007117,GO:0004722,GO:0000159,GO:0006412,GO:0007094,GO:0006470,GO:0000780,GO:0007015"
YDL187C,YDL187C,4,125510.0,125839.0,329.0,-,Dubious,"GO:0003674,GO:0008150,GO:0005575"
YDL186W,YDL186W,4,125617.0,126450.0,833.0,+,Uncharacterized,"GO:0003674,GO:0005575,GO:0008150"
YDL185C-A,YDL185C-A,4,126609.0,126836.0,227.0,-,Dubious,"GO:0005575,GO:0003674,GO:0008150"
TFP1,YDL185W,4,126788.0,130003.0,3215.0,+,Verified,"GO:0006314,GO:0000221,GO:0004520,GO:0007035,GO:0000329,GO:0019538,GO:0046961"
RPL41A,YDL184C,4,130408.0,130485.0,77.0,-,Verified,"GO:0006412,GO:0022625,GO:0003735"
YDL183C,YDL183C,4,130872.0,131834.0,962.0,-,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
LYS20,YDL182W,4,133438.0,134724.0,1286.0,+,Verified,"GO:0004410,GO:0019878,GO:0005739,GO:0005634"
INH1,YDL181W,4,135180.0,135437.0,257.0,+,Verified,"GO:0005753,GO:0004857,GO:0005739,GO:0032780"
YDL180W,YDL180W,4,135897.0,137540.0,1643.0,+,Uncharacterized,"GO:0003674,GO:0008150,GO:0000324"
PCL9,YDL179W,4,138292.0,139206.0,914.0,+,Verified,"GO:0016538,GO:0000307,GO:0032878,GO:0000131,GO:0005935"
DLD2,YDL178W,4,139523.0,141115.0,1592.0,+,Verified,"GO:0004458,GO:0005759,GO:0006089,GO:0003779,GO:0005739"
YDL177C,YDL177C,4,141210.0,141722.0,512.0,-,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
YDL176W,YDL176W,4,142098.0,144224.0,2126.0,+,Uncharacterized,"GO:0003674,GO:0008150,GO:0005575"
AIR2,YDL175C,4,144485.0,145519.0,1034.0,-,Verified,"GO:0005634,GO:0006406,GO:0016078,GO:0016077,GO:0016075,GO:0031499,GO:0016076,GO:0043630,GO:0004652"
DLD1,YDL174C,4,145827.0,147590.0,1763.0,-,Verified,"GO:0005975,GO:0004458,GO:0005743,GO:0009060,GO:0005739"
YDL173W,YDL173W,4,148192.0,149079.0,887.0,+,Uncharacterized,"GO:0003674,GO:0008150,GO:0005737"
YDL172C,YDL172C,4,148608.0,149087.0,479.0,-,Dubious,"GO:0003674,GO:0008150,GO:0005575"
GLT1,YDL171C,4,149204.0,155641.0,6437.0,-,Verified,"GO:0016040,GO:0006537,GO:0005739,GO:0031026"
UGA3,YDL170W,4,156319.0,157905.0,1586.0,+,Verified,"GO:0003704,GO:0006357,GO:0005634,GO:0019740,GO:0045893,GO:0003700,GO:0009450"
UGX2,YDL169C,4,158065.0,158736.0,671.0,-,Verified,"GO:0008150,GO:0003674,GO:0005575"
SFA1,YDL168W,4,159605.0,160765.0,1160.0,+,Verified,"GO:0000947,GO:0005737,GO:0005739,GO:0046294,GO:0004022,GO:0033833,GO:0033859,GO:0051903"
NRP1,YDL167C,4,160996.0,163155.0,2159.0,-,Verified,"GO:0003674,GO:0005737,GO:0042254"
FAP7,YDL166C,4,163450.0,164043.0,593.0,-,Verified,"GO:0005634,GO:0000462,GO:0030684,GO:0005737,GO:0017111,GO:0000056,GO:0006979"
CDC36,YDL165W,4,164291.0,164866.0,575.0,+,Verified,"GO:0051726,GO:0000122,GO:0005634,GO:0030015,GO:0006357,GO:0005737,GO:0000289,GO:0000749,GO:0000288,GO:0000175,GO:0006368,GO:0016567,GO:0004842"
CDC9,YDL164C,4,164988.0,167255.0,2267.0,-,Verified,"GO:0003910,GO:0006284,GO:0006310,GO:0005657,GO:0006266,GO:0006273,GO:0006289,GO:0005634,GO:0005739,GO:0000278"
YDL163W,YDL163W,4,166957.0,167259.0,302.0,+,Dubious,"GO:0003674,GO:0008150,GO:0005575"
YDL162C,YDL162C,4,167360.0,167716.0,356.0,-,Dubious,"GO:0003674,GO:0008150,GO:0005575"
ENT1,YDL161W,4,167715.0,169079.0,1364.0,+,Verified,"GO:0000147,GO:0006897,GO:0007015,GO:0030276,GO:0030479"
YDL160C-A,YDL160C-A,4,169367.0,169609.0,242.0,-,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
DHH1,YDL160C,4,170411.0,171931.0,1520.0,-,Verified,"GO:0000290,GO:0005515,GO:0000932,GO:0003724,GO:0005737,GO:0033962,GO:0000753"
YDL159W-A,YDL159W-A,4,172183.0,172314.0,131.0,+,Uncharacterized,"GO:0005575,GO:0003674,GO:0008150"
STE7,YDL159W,4,172482.0,174029.0,1547.0,+,Verified,"GO:0006468,GO:0004708,GO:0007124,GO:0005737,GO:0043332,GO:0000750,GO:0001403"
YDL159C-B,YDL159C-B,4,173057.0,173233.0,176.0,-,Dubious,"GO:0008150,GO:0003674,GO:0005575"
YDL158C,YDL158C,4,173867.0,174175.0,308.0,-,Dubious,"GO:0003674,GO:0008150,GO:0005575"
YDL157C,YDL157C,4,174233.0,174589.0,356.0,-,Uncharacterized,"GO:0003674,GO:0008150,GO:0005739"
YDL156W,YDL156W,4,174919.0,176487.0,1568.0,+,Uncharacterized,"GO:0008150,GO:0003674,GO:0005737,GO:0005634"
CLB3,YDL155W,4,176774.0,178057.0,1283.0,+,Verified,"GO:0000079,GO:0000086,GO:0016538,GO:0005737,GO:0000084,GO:0005634"
MSH5,YDL154W,4,178335.0,181040.0,2705.0,+,Verified,"GO:0005634,GO:0007131,GO:0003674"
SAS10,YDL153C,4,181187.0,183019.0,1832.0,-,Verified,"GO:0030515,GO:0006325,GO:0005634,GO:0000462,GO:0042254,GO:0032040,GO:0000480,GO:0000447,GO:0000472,GO:0005730"
YDL152W,YDL152W,4,182823.0,183188.0,365.0,+,Dubious,"GO:0003674,GO:0008150,GO:0005575"
BUD30,YDL151C,4,183319.0,183900.0,581.0,-,Dubious,"GO:0003674,GO:0005575,GO:0000282,GO:0000723,GO:0030437,GO:0045944"
RPC53,YDL150W,4,183344.0,184612.0,1268.0,+,Verified,"GO:0005666,GO:0006383,GO:0003899"
ATG9,YDL149W,4,184926.0,187919.0,2993.0,+,Verified,"GO:0005624,GO:0000045,GO:0005739,GO:0003674,GO:0032258,GO:0000407,GO:0016021"
NOP14,YDL148C,4,188155.0,190587.0,2432.0,-,Verified,"GO:0005730,GO:0030515,GO:0000462,GO:0005739,GO:0030692,GO:0006364,GO:0042274,GO:0042254,GO:0032040,GO:0000480,GO:0000447,GO:0000472,GO:0030686"
RPN5,YDL147W,4,190925.0,192262.0,1337.0,+,Verified,"GO:0006511,GO:0008541,GO:0003674"
LDB17,YDL146W,4,192751.0,194226.0,1475.0,+,Verified,"GO:0008150,GO:0003674,GO:0005737,GO:0005933,GO:0005935"
COP1,YDL145C,4,194572.0,198177.0,3605.0,-,Verified,"GO:0006890,GO:0030126,GO:0003674,GO:0006888"
YDL144C,YDL144C,4,198663.0,199733.0,1070.0,-,Uncharacterized,"GO:0005737,GO:0005634,GO:0008150,GO:0003674"
CCT4,YDL143W,4,199997.0,201583.0,1586.0,+,Verified,"GO:0005737,GO:0005856,GO:0006457,GO:0007010,GO:0005832,GO:0051082"
CRD1,YDL142C,4,201720.0,202571.0,851.0,-,Verified,"GO:0008808,GO:0008610,GO:0007006,GO:0005740,GO:0005739"
BPL1,YDL141W,4,203040.0,205112.0,2072.0,+,Verified,"GO:0004079,GO:0004078,GO:0004080,GO:0005622,GO:0004077,GO:0005737,GO:0009305"
RPO21,YDL140C,4,205361.0,210562.0,5201.0,-,Verified,"GO:0005665,GO:0006366,GO:0003899,GO:0005739"
SCM3,YDL139C,4,211376.0,212047.0,671.0,-,Verified,"GO:0003674,GO:0005737,GO:0005634,GO:0000086,GO:0008104,GO:0000780,GO:0007059"
