orf_name,name,chr,start,stop,length,strand,orf_class,TSS,PAS,transcript_start,transcript_stop
YDL166C,FAP7,4,163450,164043,593,-,Verified,164097.0,163388.0,163388,164097
YDL165W,CDC36,4,164291,164866,575,+,Verified,164229.0,164906.0,164229,164906
YDL164C,CDC9,4,164988,167255,2267,-,Verified,167306.0,164827.0,164827,167306
YDL163W,YDL163W,4,166957,167259,302,+,Dubious,,,166957,167259
YDL162C,YDL162C,4,167360,167716,356,-,Dubious,,,167716,167360
YDL161W,ENT1,4,167715,169079,1364,+,Verified,167699.0,169183.0,167699,169183
YDL160C-A,YDL160C-A,4,169367,169609,242,-,Uncharacterized,169637.0,169108.0,169108,169637
YDL160C,DHH1,4,170411,171931,1520,-,Verified,172215.0,170233.0,170233,172215
YDL159W-A,YDL159W-A,4,172183,172314,131,+,Uncharacterized,,,172183,172314
YDL159W,STE7,4,172482,174029,1547,+,Verified,172436.0,174225.0,172436,174225
YDL159C-B,YDL159C-B,4,173057,173233,176,-,Dubious,,,173233,173057
YDL158C,YDL158C,4,173867,174175,308,-,Dubious,,,174175,173867
YDL157C,YDL157C,4,174233,174589,356,-,Uncharacterized,174604.0,174073.0,174073,174604
YDL156W,YDL156W,4,174919,176487,1568,+,Uncharacterized,174825.0,,174825,176487
YDL155W,CLB3,4,176774,178057,1283,+,Verified,176634.0,178195.0,176634,178195
YDL154W,MSH5,4,178335,181040,2705,+,Verified,,181083.0,178335,181083
YDL153C,SAS10,4,181187,183019,1832,-,Verified,183045.0,181046.0,181046,183045
YDL152W,YDL152W,4,182823,183188,365,+,Dubious,,,182823,183188
YDL151C,BUD30,4,183319,183900,581,-,Dubious,,,183900,183319
YDL150W,RPC53,4,183344,184612,1268,+,Verified,183233.0,184686.0,183233,184686
YDL149W,ATG9,4,184926,187919,2993,+,Verified,184881.0,188019.0,184881,188019
YDL148C,NOP14,4,188155,190587,2432,-,Verified,190617.0,187951.0,187951,190617
YDL147W,RPN5,4,190925,192262,1337,+,Verified,190874.0,192408.0,190874,192408
YDL146W,LDB17,4,192751,194226,1475,+,Verified,192568.0,194285.0,192568,194285
YDL145C,COP1,4,194572,198177,3605,-,Verified,198432.0,194410.0,194410,198432
YDL144C,YDL144C,4,198663,199733,1070,-,Uncharacterized,199743.0,198571.0,198571,199743
YDL143W,CCT4,4,199997,201583,1586,+,Verified,199962.0,201681.0,199962,201681
YDL142C,CRD1,4,201720,202571,851,-,Verified,202635.0,201593.0,201593,202635
YDL141W,BPL1,4,203040,205112,2072,+,Verified,202801.0,205375.0,202801,205375
YDL140C,RPO21,4,205361,210562,5201,-,Verified,211105.0,205240.0,205240,211105
YDL139C,SCM3,4,211376,212047,671,-,Verified,212078.0,211233.0,211233,212078
YDL138W,RGT2,4,213352,215643,2291,+,Verified,213176.0,215719.0,213176,215719
YDL137W,ARF2,4,216158,217074,916,+,Verified,216037.0,217226.0,216037,217226
YDL136W,RPL35B,4,217600,218367,767,+,Verified,217535.0,218455.0,217535,218455
YDL135C,RDI1,4,218680,219288,608,-,Verified,219333.0,218590.0,218590,219333
YDL134C,PPH21,4,219662,220771,1109,-,Verified,221283.0,219555.0,219555,221283
YDL133C-A,RPL41B,4,221724,221801,77,-,Verified,221819.0,221523.0,221523,221819
YDL133W,YDL133W,4,222427,223740,1313,+,Uncharacterized,222292.0,223781.0,222292,223781
YDL132W,CDC53,4,224304,226751,2447,+,Verified,223990.0,226913.0,223990,226913
YDL131W,LYS21,4,227393,228715,1322,+,Verified,227357.0,228817.0,227357,228817
YDL130W-A,STF1,4,229171,229431,260,+,Verified,229095.0,229589.0,229095,229589
YDL130W,RPP1B,4,229906,230527,621,+,Verified,229870.0,230620.0,229870,230620
YDL129W,YDL129W,4,231024,231899,875,+,Uncharacterized,230872.0,,230872,231899
YDL128W,VCX1,4,232652,233887,1235,+,Verified,232591.0,234060.0,232591,234060
YDL127W,PCL2,4,234927,235853,926,+,Verified,234856.0,236020.0,234856,236020
YDL126C,CDC48,4,236157,238664,2507,-,Verified,238714.0,236081.0,236081,238714
YDL125C,HNT1,4,239019,239606,587,-,Verified,239598.0,238906.0,238906,239598
YDL124W,YDL124W,4,240259,241197,938,+,Verified,240214.0,241269.0,240214,241269
YDL123W,SNA4,4,241418,241840,422,+,Verified,241405.0,,241405,241840
YDL122W,UBP1,4,242552,244981,2429,+,Verified,,245042.0,242552,245042
YDL121C,YDL121C,4,245133,245582,449,-,Uncharacterized,245593.0,244933.0,244933,245593
YDL120W,YFH1,4,245923,246447,524,+,Verified,245843.0,246601.0,245843,246601
YDL119C,YDL119C,4,246689,247612,923,-,Uncharacterized,,246450.0,246450,246689
YDL118W,YDL118W,4,247302,247682,380,+,Uncharacterized,,,247302,247682
YDL117W,CYK3,4,248581,251238,2657,+,Verified,248260.0,251372.0,248260,251372
YDL116W,NUP84,4,251566,253746,2180,+,Verified,251499.0,253845.0,251499,253845
YDL115C,IWR1,4,253995,255126,1131,-,Verified,255168.0,253903.0,253903,255168
YDL114W-A,YDL114W-A,4,254935,255048,113,+,Dubious,,,254935,255048
YDL114W,YDL114W,4,255604,256530,926,+,Uncharacterized,,,255604,256530
YDL113C,ATG20,4,256633,258555,1922,-,Verified,258641.0,256537.0,256537,258641
YDL112W,TRM3,4,258915,263225,4310,+,Verified,258835.0,263334.0,258835,263334
YDL111C,RRP42,4,263313,264110,797,-,Verified,264171.0,263268.0,263268,264171
YDL110C,TMA17,4,264512,264964,452,-,Verified,265021.0,264408.0,264408,265021
YDL109C,YDL109C,4,265258,267201,1943,-,Uncharacterized,,,267201,265258
YDL108W,KIN28,4,267698,268699,1001,+,Verified,267675.0,268785.0,267675,268785
YDL107W,MSS2,4,268921,269976,1055,+,Verified,268900.0,270126.0,268900,270126
YDL106C,PHO2,4,270222,271901,1679,-,Verified,271965.0,270094.0,270094,271965
YDL105W,NSE4,4,272389,273597,1208,+,Verified,272348.0,273756.0,272348,273756
YDL104C,QRI7,4,273653,274876,1223,-,Uncharacterized,274897.0,273569.0,273569,274897
YDL103C,QRI1,4,275148,276581,1433,-,Verified,276654.0,275055.0,275055,276654
YDL102W,POL3,4,276872,280165,3293,+,Verified,276780.0,280288.0,276780,280288
YDL101C,DUN1,4,280307,281848,1541,-,Verified,281909.0,280198.0,280198,281909
YDL100C,GET3,4,282112,283176,1064,-,Verified,283212.0,282036.0,282036,283212
YDL099W,BUG1,4,283419,284444,1025,+,Verified,283399.0,284532.0,283399,284532
YDL098C,SNU23,4,284581,285165,584,-,Verified,285166.0,284443.0,284443,285166
YDL097C,RPN6,4,285391,286695,1304,-,Verified,286727.0,285293.0,285293,286727
YDL096C,OPI6,4,286998,287324,326,-,Dubious,,,287324,286998
YDL095W,PMT1,4,287059,289512,2453,+,Verified,286979.0,289607.0,286979,289607
YDL094C,YDL094C,4,289572,290081,509,-,Dubious,,,290081,289572
YDL093W,PMT5,4,289909,292140,2231,+,Verified,289884.0,292420.0,289884,292420
YDL092W,SRP14,4,292781,293221,440,+,Verified,292758.0,293357.0,292758,293357
YDL091C,UBX3,4,293392,294759,1367,-,Verified,294855.0,293298.0,293298,294855
YDL090C,RAM1,4,295034,296329,1295,-,Verified,296315.0,294961.0,294961,296315
YDL089W,YDL089W,4,296820,298274,1454,+,Uncharacterized,296494.0,298382.0,296494,298382
YDL088C,ASM4,4,298417,300003,1586,-,Verified,300131.0,298263.0,298263,300131
YDL087C,LUC7,4,300214,300999,785,-,Verified,301015.0,300052.0,300052,301015
YDL086W,YDL086W,4,301413,302234,821,+,Uncharacterized,301408.0,302301.0,301408,302301
YDL086C-A,YDL086C-A,4,301655,302089,434,-,Dubious,,,302089,301655
YDL085C-A,YDL085C-A,4,302464,302670,206,-,Uncharacterized,302729.0,302223.0,302223,302729
YDL085W,NDE2,4,303211,304848,1637,+,Verified,,305191.0,303211,305191
YDL084W,SUB2,4,305237,306577,1340,+,Verified,305121.0,306664.0,305121,306664
YDL083C,RPS16B,4,306926,307789,863,-,Verified,307819.0,306796.0,306796,307819
YDL082W,RPL13A,4,308424,309388,964,+,Verified,308352.0,309530.0,308352,309530
YDL081C,RPP1A,4,309802,310122,320,-,Verified,310188.0,309694.0,309694,310188
YDL080C,THI3,4,310642,312471,1829,-,Verified,312680.0,310474.0,310474,312680
YDL079C,MRK1,4,312951,314748,1797,-,Verified,314982.0,312823.0,312823,314982
YDL078C,MDH3,4,315357,316388,1031,-,Verified,316460.0,315273.0,315273,316460
YDL077C,VAM6,4,316971,320120,3149,-,Verified,320290.0,316856.0,316856,320290
YDL076C,RXT3,4,320668,321552,884,-,Verified,321675.0,320409.0,320409,321675
YDL075W,RPL31A,4,322226,322988,762,+,Verified,322195.0,323055.0,322195,323055
YDL074C,BRE1,4,324047,326149,2102,-,Verified,326221.0,323953.0,323953,326221
YDL073W,YDL073W,4,326613,329567,2954,+,Uncharacterized,326433.0,329623.0,326433,329623
YDL072C,YET3,4,329836,330447,611,-,Verified,330518.0,329748.0,329748,330518
YDL071C,YDL071C,4,330667,331041,374,-,Dubious,,,331041,330667
YDL070W,BDF2,4,331025,332941,1916,+,Verified,330993.0,333097.0,330993,333097
YDL069C,CBS1,4,333121,333810,689,-,Verified,333642.0,333003.0,333003,333642
YDL068W,YDL068W,4,333500,333829,329,+,Dubious,,,333500,333829
YDL067C,COX9,4,334217,334396,179,-,Verified,334442.0,333983.0,333983,334442
YDL066W,IDP1,4,334835,336121,1286,+,Verified,334818.0,336219.0,334818,336219
YDL065C,PEX19,4,336249,337277,1028,-,Verified,337318.0,336217.0,336217,337318
YDL064W,UBC9,4,337487,338070,583,+,Verified,337447.0,338170.0,337447,338170
YDL063C,YDL063C,4,338272,340134,1862,-,Uncharacterized,340202.0,338128.0,338128,340202
YDL062W,YDL062W,4,339857,340282,425,+,Dubious,,,339857,340282
YDL061C,RPS29B,4,340628,341219,591,-,Verified,341215.0,340461.0,340461,341215
YDL060W,TSR1,4,341619,343985,2366,+,Verified,341599.0,344124.0,341599,344124
YDL059C,RAD59,4,344237,344953,716,-,Verified,345066.0,343972.0,343972,345066
YDL058W,USO1,4,345665,351037,5372,+,Verified,345585.0,351190.0,345585,351190
YDL057W,YDL057W,4,351434,352420,986,+,Uncharacterized,351387.0,352461.0,351387,352461
YDL056W,MBP1,4,352877,355378,2501,+,Verified,352762.0,355453.0,352762,355453
YDL055C,PSA1,4,355674,356759,1085,-,Verified,356908.0,355431.0,355431,356908
YDL054C,MCH1,4,359825,361285,1460,-,Verified,361371.0,359742.0,359742,361371
YDL053C,PBP4,4,361699,362256,557,-,Verified,362454.0,361509.0,361509,362454
YDL052C,SLC1,4,362672,363583,911,-,Verified,363619.0,362582.0,362582,363619
YDL051W,LHP1,4,363952,364779,827,+,Verified,363910.0,364891.0,363910,364891
YDL050C,YDL050C,4,364446,364817,371,-,Dubious,,,364817,364446
YDL049C,KNH1,4,365068,365874,806,-,Verified,366051.0,,365874,366051
YDL048C,STP4,4,366739,368211,1472,-,Verified,,366660.0,366660,366739
YDL047W,SIT4,4,369769,370704,935,+,Verified,369564.0,371026.0,369564,371026
YDL046W,NPC2,4,371237,371758,521,+,Verified,371170.0,372035.0,371170,372035
YDL045W-A,MRP10,4,372245,372532,287,+,Verified,372201.0,372653.0,372201,372653
YDL045C,FAD1,4,372685,373605,920,-,Verified,373741.0,372558.0,372558,373741
YDL044C,MTF2,4,373964,375286,1322,-,Verified,375291.0,373884.0,373884,375291
YDL043C,PRP11,4,375677,376477,800,-,Verified,376530.0,375604.0,375604,376530
YDL042C,SIR2,4,376754,378442,1688,-,Verified,378502.0,376640.0,376640,378502
YDL041W,YDL041W,4,378099,378452,353,+,Dubious,,,378099,378452
YDL040C,NAT1,4,378871,381435,2564,-,Verified,381462.0,378759.0,378759,381462
YDL039C,PRM7,4,381983,384079,2096,-,Verified,,381869.0,381869,381983
YDL037C,BSC1,4,384599,385585,986,-,Verified,385763.0,,385585,385763
YDL036C,PUS9,4,387511,388899,1388,-,Verified,388879.0,387374.0,387374,388879
YDL035C,GPR1,4,389170,392055,2885,-,Verified,392339.0,389035.0,389035,392339
YDL034W,YDL034W,4,391781,392125,344,+,Dubious,,,391781,392125
YDL033C,SLM3,4,392657,393910,1253,-,Verified,393957.0,392404.0,392404,393957
YDL032W,YDL032W,4,393688,393999,311,+,Dubious,,,393688,393999
YDL031W,DBP10,4,394215,397202,2987,+,Verified,394162.0,397290.0,394162,397290
YDL030W,PRP9,4,397535,399127,1592,+,Verified,397456.0,399218.0,397456,399218
YDL029W,ARP2,4,399338,400636,1298,+,Verified,399310.0,400759.0,399310,400759
YDL028C,MPS1,4,400995,403289,2294,-,Verified,403413.0,400830.0,400830,403413
YDL027C,YDL027C,4,403693,404955,1262,-,Uncharacterized,405001.0,403685.0,403685,405001
YDL026W,YDL026W,4,404747,405058,311,+,Dubious,,,404747,405058
YDL025C,YDL025C,4,405342,407204,1862,-,Uncharacterized,407414.0,405149.0,405149,407414
YDL025W-A,YDL025W-A,4,405408,405512,104,+,Dubious,,,405408,405512
YDL024C,DIA3,4,408449,409855,1406,-,Verified,,408107.0,408107,408449
YDL022C-A,YDL022C-A,4,409806,410054,248,-,Dubious,,,410054,409806
YDL023C,YDL023C,4,411759,412079,320,-,Dubious,,,412079,411759
YDL022W,GPD1,4,411823,412998,1175,+,Verified,411758.0,413154.0,411758,413154
YDL021W,GPM2,4,413951,414886,935,+,Verified,413916.0,415122.0,413916,415122
YDL020C,RPN4,4,415111,416706,1595,-,Verified,416950.0,415065.0,415065,416950
YDL019C,OSH2,4,417661,421512,3851,-,Verified,421722.0,417578.0,417578,421722
YDL018C,ERP3,4,422831,423508,677,-,Verified,423568.0,422563.0,422563,423568
YDL017W,CDC7,4,424207,425730,1523,+,Verified,424184.0,425844.0,424184,425844
YDL016C,YDL016C,4,425568,425870,302,-,Dubious,,,425870,425568
YDL015C,TSC13,4,426000,426932,932,-,Verified,426978.0,425756.0,425756,426978
YDL014W,NOP1,4,427362,428345,983,+,Verified,427219.0,428560.0,427219,428560
YDL013W,SLX5,4,429065,430924,1859,+,Verified,428928.0,431022.0,428928,431022
YDL012C,YDL012C,4,431106,431515,409,-,Uncharacterized,431532.0,430942.0,430942,431532
YDL011C,YDL011C,4,432306,432629,323,-,Dubious,,,432629,432306
YDL010W,GRX6,4,432328,433023,695,+,Verified,432295.0,433310.0,432295,433310
YDL009C,YDL009C,4,432923,433246,323,-,Dubious,,,433246,432923
YDL008W,APC11,4,433495,433992,497,+,Verified,433495.0,434091.0,433495,434091
YDL007C-A,YDL007C-A,4,436565,436822,257,-,Uncharacterized,,,436822,436565
YDL007W,RPT2,4,438045,439358,1313,+,Verified,438007.0,439420.0,438007,439420
YDL006W,PTC1,4,439907,440752,845,+,Verified,439559.0,440856.0,439559,440856
YDL005C,MED2,4,441012,442307,1295,-,Verified,442347.0,440767.0,440767,442347
YDL004W,ATP16,4,443027,443509,482,+,Verified,442984.0,443707.0,442984,443707
YDL003W,MCD1,4,444681,446381,1700,+,Verified,444583.0,446488.0,444583,446488
YDL002C,NHP10,4,446965,447576,611,-,Verified,447646.0,446682.0,446682,447646
YDL001W,RMD1,4,447982,449274,1292,+,Verified,447924.0,449390.0,447924,449390
YDR001C,NTH1,4,450218,452473,2255,-,Verified,452542.0,450144.0,450144,452542
YDR002W,YRB1,4,453043,453648,605,+,Verified,452988.0,453832.0,452988,453832
YDR003W,RCR2,4,454120,454752,632,+,Verified,454002.0,455071.0,454002,455071
YDR003W-A,YDR003W-A,4,454780,454902,122,+,Uncharacterized,,455071.0,454780,455071
YDR004W,RAD57,4,455199,456581,1382,+,Verified,455238.0,456741.0,455238,456741
YDR005C,MAF1,4,456834,458101,1267,-,Verified,458218.0,456667.0,456667,458218
YDR006C,SOK1,4,458540,461245,2705,-,Verified,461396.0,458453.0,458453,461396
YDR007W,TRP1,4,461840,462514,674,+,Verified,461806.0,462609.0,461806,462609
YDR008C,YDR008C,4,462250,462600,350,-,Dubious,,,462600,462250
YDR009W,GAL3,4,463432,464994,1562,+,Verified,,465358.0,463432,465358
YDR010C,YDR010C,4,465049,465381,332,-,Dubious,,,465381,465049
YDR011W,SNQ2,4,465917,470422,4505,+,Verified,465596.0,470602.0,465596,470602
YDR012W,RPL4B,4,471851,472939,1088,+,Verified,471819.0,473016.0,471819,473016
YDR013W,PSF1,4,473155,473781,626,+,Verified,473139.0,473870.0,473139,473870
YDR014W,RAD61,4,474044,475987,1943,+,Verified,474052.0,476344.0,474052,476344
YDR014W-A,HED1,4,477795,478283,488,+,Verified,477789.0,478429.0,477789,478429
YDR015C,YDR015C,4,477958,478197,239,-,Dubious,,,478197,477958
YDR016C,DAD1,4,478472,478756,284,-,Verified,478789.0,478367.0,478367,478789
YDR017C,KCS1,4,479113,482265,3152,-,Verified,482279.0,478943.0,478943,482279
YDR018C,YDR018C,4,482668,483858,1190,-,Uncharacterized,483926.0,,483858,483926
YDR019C,GCV1,4,484161,485363,1202,-,Verified,485367.0,483984.0,483984,485367
YDR020C,DAS2,4,485744,486442,698,-,Uncharacterized,486571.0,,486442,486571
YDR021W,FAL1,4,486802,488001,1199,+,Verified,486695.0,488059.0,486695,488059
YDR022C,CIS1,4,488070,488660,590,-,Verified,488688.0,487959.0,487959,488688
YDR023W,SES1,4,489506,490894,1388,+,Verified,489472.0,491027.0,489472,491027
YDR024W,FYV1,4,491015,491500,485,+,Dubious,,,491015,491500
YDR025W,RPS11A,4,491513,492322,809,+,Verified,491499.0,492419.0,491499,492419
YDR026C,YDR026C,4,492554,494266,1712,-,Verified,494409.0,492503.0,492503,494409
YDR027C,VPS54,4,494647,497316,2669,-,Verified,497433.0,494574.0,494574,497433
YDR028C,REG1,4,497833,500877,3044,-,Verified,501357.0,497555.0,497555,501357
YDR029W,YDR029W,4,501098,501412,314,+,Dubious,,,501098,501412
YDR030C,RAD28,4,501751,503271,1520,-,Verified,503279.0,501704.0,501704,503279
YDR031W,MIC14,4,503496,503861,365,+,Verified,503489.0,504009.0,503489,504009
YDR032C,PST2,4,504097,504693,596,-,Verified,504762.0,503944.0,503944,504762
YDR033W,MRH1,4,508145,509107,962,+,Verified,507899.0,509445.0,507899,509445
YDR034C,LYS14,4,509735,512107,2372,-,Verified,512246.0,509662.0,509662,512246
YDR034C-A,YDR034C-A,4,520514,520690,176,-,Uncharacterized,520904.0,,520690,520904
YDR034W-B,YDR034W-B,4,521312,521467,155,+,Uncharacterized,521272.0,521759.0,521272,521759
YDR035W,ARO3,4,521814,522926,1112,+,Verified,521785.0,523074.0,521785,523074
YDR036C,EHD3,4,523209,524711,1502,-,Verified,524764.0,523080.0,523080,524764
YDR037W,KRS1,4,525438,527213,1775,+,Verified,525408.0,527279.0,525408,527279
YDR038C,ENA5,4,527420,530695,3275,-,Verified,530802.0,527277.0,527277,530802
YDR039C,ENA2,4,531305,534580,3275,-,Verified,534676.0,531186.0,531186,534676
YDR040C,ENA1,4,535190,538465,3275,-,Verified,538910.0,535064.0,535064,538910
YDR041W,RSM10,4,539801,540412,611,+,Verified,539793.0,540584.0,539793,540584
YDR042C,YDR042C,4,540599,541201,602,-,Uncharacterized,541276.0,540490.0,540490,541276
YDR043C,NRG1,4,542673,543368,695,-,Verified,543570.0,542550.0,542550,543570
YDR044W,HEM13,4,546641,547627,986,+,Verified,546491.0,547776.0,546491,547776
YDR045C,RPC11,4,547977,548309,332,-,Verified,548464.0,547757.0,547757,548464
YDR046C,BAP3,4,548761,550575,1814,-,Verified,550665.0,548670.0,548670,550665
YDR047W,HEM12,4,551859,552947,1088,+,Verified,551735.0,553023.0,551735,553023
YDR048C,YDR048C,4,553083,553397,314,-,Dubious,,,553397,553083
YDR049W,YDR049W,4,553253,555151,1898,+,Uncharacterized,553227.0,555282.0,553227,555282
YDR050C,TPI1,4,555725,556471,746,-,Verified,556501.0,555637.0,555637,556501
YDR051C,YDR051C,4,557055,558059,1004,-,Uncharacterized,558105.0,556998.0,556998,558105
YDR052C,DBF4,4,558510,560624,2114,-,Verified,560779.0,558269.0,558269,560779
YDR053W,YDR053W,4,560248,560643,395,+,Dubious,,,560248,560643
YDR054C,CDC34,4,561439,562326,887,-,Verified,562500.0,561081.0,561081,562500
YDR055W,PST1,4,563526,564860,1334,+,Verified,563465.0,565001.0,563465,565001
YDR056C,YDR056C,4,565022,565639,617,-,Uncharacterized,565697.0,564918.0,564918,565697
YDR057W,YOS9,4,565926,567554,1628,+,Verified,565889.0,567694.0,565889,567694
YDR058C,TGL2,4,567722,568702,980,-,Verified,568741.0,567590.0,567590,568741
YDR059C,UBC5,4,569233,569769,536,-,Verified,569835.0,569135.0,569135,569835
YDR060W,MAK21,4,570647,573724,3077,+,Verified,570556.0,573812.0,570556,573812
YDR061W,YDR061W,4,574162,575781,1619,+,Uncharacterized,,575906.0,574162,575906
YDR062W,LCB2,4,576472,578157,1685,+,Verified,576094.0,578445.0,576094,578445
YDR063W,AIM7,4,578662,579111,449,+,Uncharacterized,578523.0,579212.0,578523,579212
YDR064W,RPS13,4,579457,580451,994,+,Verified,579424.0,580529.0,579424,580529
YDR065W,YDR065W,4,580686,581783,1097,+,Uncharacterized,580686.0,,580686,581783
YDR066C,RTR2,4,581907,582497,590,-,Uncharacterized,582619.0,581879.0,581879,582619
YDR067C,OCA6,4,582790,583464,674,-,Uncharacterized,583539.0,582759.0,582759,583539
YDR068W,DOS2,4,583712,584644,932,+,Verified,583664.0,584707.0,583664,584707
YDR069C,DOA4,4,584938,587718,2780,-,Verified,587808.0,584630.0,584630,587808
YDR070C,FMP16,4,588097,588378,281,-,Uncharacterized,,587944.0,587944,588097
YDR071C,PAA1,4,588826,589401,575,-,Verified,589464.0,588741.0,588741,589464
YDR072C,IPT1,4,589760,591343,1583,-,Verified,591469.0,589670.0,589670,591469
YDR073W,SNF11,4,592437,592946,509,+,Verified,592367.0,593208.0,592367,593208
YDR074W,TPS2,4,593891,596581,2690,+,Verified,593670.0,596843.0,593670,596843
YDR075W,PPH3,4,597154,598080,926,+,Verified,596980.0,598243.0,596980,598243
YDR076W,RAD55,4,598466,599686,1220,+,Verified,598428.0,,598428,599686
YDR077W,SED1,4,600791,601807,1016,+,Verified,600748.0,602136.0,600748,602136
YDR078C,SHU2,4,602196,602867,671,-,Verified,602884.0,602097.0,602097,602884
YDR079W,PET100,4,603062,603397,335,+,Verified,603030.0,603517.0,603030,603517
YDR079C-A,TFB5,4,603591,603809,218,-,Verified,603843.0,603379.0,603379,603843
YDR080W,VPS41,4,604006,606984,2978,+,Verified,603969.0,607164.0,603969,607164
YDR081C,PDC2,4,607302,610079,2777,-,Verified,610166.0,607274.0,607274,610166
YDR082W,STN1,4,610439,611923,1484,+,Verified,610347.0,612061.0,610347,612061
YDR083W,RRP8,4,612071,613249,1178,+,Verified,612049.0,613337.0,612049,613337
YDR084C,TVP23,4,613403,614002,599,-,Verified,614028.0,613277.0,613277,614028
YDR085C,AFR1,4,614286,616148,1862,-,Verified,615273.0,614198.0,614198,615273
YDR086C,SSS1,4,616926,617168,242,-,Verified,617261.0,616736.0,616736,617261
YDR087C,RRP1,4,617468,618304,836,-,Verified,618333.0,617375.0,617375,618333
YDR088C,SLU7,4,618495,619643,1148,-,Verified,619822.0,618306.0,618306,619822
YDR089W,YDR089W,4,622110,624719,2609,+,Uncharacterized,621989.0,624892.0,621989,624892
YDR090C,YDR090C,4,625064,625996,932,-,Uncharacterized,626110.0,624727.0,624727,626110
YDR091C,RLI1,4,626706,628532,1826,-,Verified,628589.0,626364.0,626364,628589
YDR092W,UBC13,4,629874,630603,729,+,Verified,629850.0,630697.0,629850,630697
YDR093W,DNF2,4,631280,636118,4838,+,Verified,631018.0,636178.0,631018,636178
YDR094W,YDR094W,4,635838,636173,335,+,Dubious,,,635838,636173
YDR095C,YDR095C,4,636115,636525,410,-,Dubious,,,636525,636115
YDR096W,GIS1,4,637137,639821,2684,+,Verified,636839.0,640133.0,636839,640133
YDR097C,MSH6,4,640107,643835,3728,-,Verified,643873.0,640046.0,640046,643873
YDR098C,GRX3,4,644176,645033,857,-,Verified,644966.0,644127.0,644127,644966
YDR099W,BMH2,4,652779,654426,1647,+,Verified,652716.0,654648.0,652716,654648
YDR100W,TVP15,4,655011,655442,431,+,Verified,654985.0,655568.0,654985,655568
YDR101C,ARX1,4,655684,657465,1781,-,Verified,657492.0,655565.0,655565,657492
YDR102C,YDR102C,4,657646,657978,332,-,Dubious,,,657978,657646
YDR103W,STE5,4,658348,661101,2753,+,Verified,657714.0,661147.0,657714,661147
YDR104C,SPO71,4,661171,664908,3737,-,Verified,664957.0,661139.0,661139,664957
YDR105C,TMS1,4,665347,666768,1421,-,Verified,666819.0,665276.0,665276,666819
YDR106W,ARP10,4,667002,667856,854,+,Verified,666984.0,667903.0,666984,667903
YDR107C,TMN2,4,669014,671032,2018,-,Verified,671047.0,668824.0,668824,671047
YDR108W,GSG1,4,671267,673363,2096,+,Verified,671231.0,673452.0,671231,673452
YDR109C,YDR109C,4,673518,675665,2147,-,Uncharacterized,675656.0,673370.0,673370,675656
YDR110W,FOB1,4,676100,677800,1700,+,Verified,676062.0,678005.0,676062,678005
YDR111C,ALT2,4,678239,679762,1523,-,Uncharacterized,679954.0,677931.0,677931,679954
YDR112W,IRC2,4,679542,679850,308,+,Dubious,,,679542,679850
YDR113C,PDS1,4,680494,681615,1121,-,Verified,681717.0,680420.0,680420,681717
YDR114C,YDR114C,4,681922,682224,302,-,Uncharacterized,,,682224,681922
YDR115W,YDR115W,4,682173,682490,317,+,Uncharacterized,682133.0,682712.0,682133,682712
YDR116C,MRPL1,4,682722,683579,857,-,Verified,683586.0,682600.0,682600,683586
YDR117C,TMA64,4,683944,685641,1697,-,Verified,685666.0,683899.0,683899,685666
YDR118W,APC4,4,685880,687838,1958,+,Verified,685842.0,688168.0,685842,688168
YDR118W-A,YDR118W-A,4,687766,687882,116,+,Dubious,,,687766,687882
YDR119W,VBA4,4,688225,690531,2306,+,Uncharacterized,688130.0,690588.0,688130,690588
YDR119W-A,YDR119W-A,4,691012,691212,200,+,Uncharacterized,690983.0,691457.0,690983,691457
YDR120C,TRM1,4,691547,693259,1712,-,Verified,693232.0,691338.0,691338,693232
YDR121W,DPB4,4,693583,694173,590,+,Verified,693448.0,694281.0,693448,694281
YDR122W,KIN1,4,694698,697892,3194,+,Verified,694410.0,698043.0,694410,698043
YDR123C,INO2,4,698552,699466,914,-,Verified,699536.0,,699466,699536
YDR124W,YDR124W,4,700313,701287,974,+,Uncharacterized,699858.0,701542.0,699858,701542
YDR125C,ECM18,4,701395,702756,1361,-,Verified,702875.0,,702756,702875
YDR126W,SWF1,4,703232,704242,1010,+,Verified,703227.0,704492.0,703227,704492
YDR127W,ARO1,4,704482,709248,4766,+,Verified,704412.0,709366.0,704412,709366
YDR128W,MTC5,4,709547,712993,3446,+,Uncharacterized,709513.0,713123.0,709513,713123
YDR129C,SAC6,4,713338,715377,2039,-,Verified,715450.0,713192.0,713192,715450
YDR130C,FIN1,4,715745,716620,875,-,Verified,716648.0,715663.0,715663,716648
YDR131C,YDR131C,4,716788,718458,1670,-,Uncharacterized,718560.0,716686.0,716686,718560
YDR132C,YDR132C,4,718814,720301,1487,-,Uncharacterized,720422.0,718777.0,718777,720422
YDR133C,YDR133C,4,720960,721295,335,-,Dubious,,,721295,720960
YDR135C,YCF1,4,723002,727549,4547,-,Verified,727604.0,722912.0,722912,727604
YDR136C,VPS61,4,727709,728281,572,-,Dubious,,,728281,727709
YDR137W,RGP1,4,728257,730248,1991,+,Verified,728172.0,730405.0,728172,730405
YDR138W,HPR1,4,730576,732834,2258,+,Verified,730563.0,,730563,732834
YDR139C,RUB1,4,733616,733922,306,-,Verified,733948.0,733445.0,733445,733948
