name,orf_name,chr,start,stop,length,strand,orf_class
PFA5,YDR459C,4,1382312,1383436,1124,-,Verified
TFB3,YDR460W,4,1383804,1384769,965,+,Verified
MFA1,YDR461W,4,1385169,1385279,110,+,Verified
YDR461C-A,YDR461C-A,4,1385517,1385759,242,-,Uncharacterized
MRPL28,YDR462W,4,1386066,1386509,443,+,Verified
STP1,YDR463W,4,1386809,1388368,1559,+,Verified
SPP41,YDR464W,4,1388865,1393172,4307,+,Verified
YDR464C-A,YDR464C-A,4,1392485,1392673,188,-,Dubious
RMT2,YDR465C,4,1393329,1394567,1238,-,Verified
PKH3,YDR466W,4,1395114,1397810,2696,+,Verified
YDR467C,YDR467C,4,1397576,1397902,326,-,Dubious
TLG1,YDR468C,4,1398019,1398693,674,-,Verified
SDC1,YDR469W,4,1399008,1399535,527,+,Verified
UGO1,YDR470C,4,1399699,1401207,1508,-,Verified
RPL27B,YDR471W,4,1401763,1402557,794,+,Verified
TRS31,YDR472W,4,1403315,1404166,851,+,Verified
PRP3,YDR473C,4,1404438,1405847,1409,-,Verified
JIP4,YDR475C,4,1407457,1410087,2630,-,Verified
YDR476C,YDR476C,4,1410446,1411120,674,-,Uncharacterized
SNF1,YDR477W,4,1412366,1414267,1901,+,Verified
SNM1,YDR478W,4,1414568,1415164,596,+,Verified
PEX29,YDR479C,4,1415203,1416867,1664,-,Verified
DIG2,YDR480W,4,1417392,1418363,971,+,Verified
PHO8,YDR481C,4,1418543,1420243,1700,-,Verified
CWC21,YDR482C,4,1420424,1420831,407,-,Verified
KRE2,YDR483W,4,1421150,1422478,1328,+,Verified
VPS52,YDR484W,4,1422756,1424681,1925,+,Verified
VPS72,YDR485C,4,1424813,1427200,2387,-,Verified
VPS60,YDR486C,4,1427424,1428113,689,-,Verified
RIB3,YDR487C,4,1428347,1428973,626,-,Verified
PAC11,YDR488C,4,1429181,1430782,1601,-,Verified
SLD5,YDR489W,4,1431005,1431889,884,+,Verified
PKH1,YDR490C,4,1431961,1434261,2300,-,Verified
YDR491C,YDR491C,4,1434493,1434984,491,-,Dubious
IZH1,YDR492W,4,1434917,1435867,950,+,Verified
AIM8,YDR493W,4,1436210,1436581,371,+,Uncharacterized
RSM28,YDR494W,4,1436923,1438008,1085,+,Verified
VPS3,YDR495C,4,1438108,1441143,3035,-,Verified
PUF6,YDR496C,4,1441426,1443396,1970,-,Verified
ITR1,YDR497C,4,1443706,1445460,1754,-,Verified
SEC20,YDR498C,4,1445836,1446987,1151,-,Verified
LCD1,YDR499W,4,1447823,1450066,2243,+,Verified
RPL37B,YDR500C,4,1450191,1450846,655,-,Verified
PLM2,YDR501W,4,1451346,1452911,1565,+,Verified
SAM2,YDR502C,4,1453303,1454457,1154,-,Verified
LPP1,YDR503C,4,1455035,1455859,824,-,Verified
SPG3,YDR504C,4,1456304,1456687,383,-,Verified
PSP1,YDR505C,4,1456688,1459213,2525,-,Verified
YDR506C,YDR506C,4,1459721,1461547,1826,-,Uncharacterized
GIN4,YDR507C,4,1462351,1465779,3428,-,Verified
GNP1,YDR508C,4,1466446,1468437,1991,-,Verified
YDR509W,YDR509W,4,1468219,1468566,347,+,Dubious
SMT3,YDR510W,4,1469393,1469698,305,+,Verified
YDR510C-A,YDR510C-A,4,1469688,1469804,116,-,Dubious
ACN9,YDR511W,4,1470010,1470411,401,+,Verified
EMI1,YDR512C,4,1470493,1471056,563,-,Verified
GRX2,YDR513W,4,1471010,1471441,431,+,Verified
YDR514C,YDR514C,4,1471541,1472992,1451,-,Uncharacterized
SLF1,YDR515W,4,1473422,1474765,1343,+,Verified
EMI2,YDR516C,4,1474967,1476469,1502,-,Verified
GRH1,YDR517W,4,1477232,1478350,1118,+,Verified
EUG1,YDR518W,4,1478601,1480154,1553,+,Verified
FPR2,YDR519W,4,1480418,1480825,407,+,Verified
URC2,YDR520C,4,1481078,1483396,2318,-,Uncharacterized
YDR521W,YDR521W,4,1483134,1483469,335,+,Dubious
SPS2,YDR522C,4,1483788,1485296,1508,-,Verified
SPS1,YDR523C,4,1485559,1487031,1472,-,Verified
AGE1,YDR524C,4,1487535,1488983,1448,-,Verified
YDR524W-C,YDR524W-C,4,1489396,1489485,89,+,Uncharacterized
YDR524C-B,YDR524C-B,4,1489591,1489791,200,-,Uncharacterized
YDR524C-A,YDR524C-A,4,1489864,1489983,119,-,Dubious
API2,YDR525W,4,1489898,1490227,329,+,Dubious
SNA2,YDR525W-A,4,1490589,1490828,239,+,Verified
YDR526C,YDR526C,4,1491068,1491538,470,-,Dubious
RBA50,YDR527W,4,1491087,1492406,1319,+,Verified
HLR1,YDR528W,4,1494579,1495850,1271,+,Verified
QCR7,YDR529C,4,1496158,1496541,383,-,Verified
APA2,YDR530C,4,1496784,1497761,977,-,Verified
YDR531W,YDR531W,4,1498225,1499328,1103,+,Uncharacterized
YDR532C,YDR532C,4,1499389,1500546,1157,-,Uncharacterized
HSP31,YDR533C,4,1501440,1502153,713,-,Verified
FIT1,YDR534C,4,1503306,1504892,1586,-,Verified
YDR535C,YDR535C,4,1506598,1507354,756,-,Dubious
STL1,YDR536W,4,1507997,1509706,1709,+,Verified
YDR537C,YDR537C,4,1510847,1511452,605,-,Dubious
PAD1,YDR538W,4,1510893,1511621,728,+,Verified
YDR539W,YDR539W,4,1512085,1513596,1511,+,Uncharacterized
IRC4,YDR540C,4,1517121,1517660,539,-,Verified
YDR541C,YDR541C,4,1519649,1520683,1034,-,Uncharacterized
PAU10,YDR542W,4,1523235,1523597,362,+,Uncharacterized
YDR543C,YDR543C,4,1524620,1524919,299,-,Dubious
YDR544C,YDR544C,4,1525081,1525509,428,-,Dubious
YRF1-1,YDR545W,4,1526307,1531697,5390,+,Verified
YDR545C-A,YDR545C-A,4,1530849,1531328,479,-,Dubious
YEL077C,YEL077C,5,264,4097,3833,-,Uncharacterized
YEL077W-A,YEL077W-A,5,630,1112,482,+,Dubious
YEL076C-A,YEL076C-A,5,4185,5114,929,-,Uncharacterized
YEL076C,YEL076C,5,4464,5114,650,-,Uncharacterized
YEL075W-A,YEL075W-A,5,4870,5481,611,+,Dubious
YEL075C,YEL075C,5,5345,5713,368,-,Uncharacterized
YEL074W,YEL074W,5,6126,6464,338,+,Dubious
YEL073C,YEL073C,5,7230,7553,323,-,Uncharacterized
RMD6,YEL072W,5,13720,14415,695,+,Verified
DLD3,YEL071W,5,16355,17845,1490,+,Verified
DSF1,YEL070W,5,19589,21097,1508,+,Uncharacterized
HXT13,YEL069C,5,21537,23231,1694,-,Verified
YEL068C,YEL068C,5,25646,25978,332,-,Dubious
YEL067C,YEL067C,5,26189,26776,587,-,Uncharacterized
HPA3,YEL066W,5,26667,27206,539,+,Verified
SIT1,YEL065W,5,27657,29543,1886,+,Verified
AVT2,YEL064C,5,29797,31239,1442,-,Verified
CAN1,YEL063C,5,31694,33466,1772,-,Verified
NPR2,YEL062W,5,34407,36254,1847,+,Verified
CIN8,YEL061C,5,36535,39537,3002,-,Verified
PRB1,YEL060C,5,40046,41953,1907,-,Verified
SOM1,YEL059C-A,5,42400,42624,224,-,Verified
YEL059W,YEL059W,5,42652,42960,308,+,Dubious
PCM1,YEL058W,5,43252,44925,1673,+,Verified
YEL057C,YEL057C,5,45020,45721,701,-,Uncharacterized
HAT2,YEL056W,5,47168,48373,1205,+,Verified
POL5,YEL055C,5,48471,51539,3068,-,Verified
RPL12A,YEL054C,5,52721,53218,497,-,Verified
YEL053W-A,YEL053W-A,5,52908,53255,347,+,Dubious
MAK10,YEL053C,5,53901,56102,2201,-,Verified
AFG1,YEL052W,5,56571,58100,1529,+,Verified
VMA8,YEL051W,5,58378,59148,770,+,Verified
YEL050W-A,YEL050W-A,5,59549,59740,191,+,Dubious
RML2,YEL050C,5,59670,60851,1181,-,Verified
PAU2,YEL049W,5,63728,64090,362,+,Verified
YEL048C,YEL048C,5,64709,65167,458,-,Uncharacterized
YEL047C,YEL047C,5,65385,66797,1412,-,Verified
GLY1,YEL046C,5,67629,68792,1163,-,Verified
YEL045C,YEL045C,5,68840,69265,425,-,Dubious
IES6,YEL044W,5,69757,70257,500,+,Verified
YEL043W,YEL043W,5,70478,73348,2870,+,Verified
GDA1,YEL042W,5,73771,75327,1556,+,Verified
YEF1,YEL041W,5,75944,77431,1487,+,Verified
UTR2,YEL040W,5,78053,79456,1403,+,Verified
CYC7,YEL039C,5,79636,79977,341,-,Verified
UTR4,YEL038W,5,80462,81145,683,+,Verified
RAD23,YEL037C,5,81407,82603,1196,-,Verified
ANP1,YEL036C,5,83050,84552,1502,-,Verified
UTR5,YEL035C,5,85045,85545,500,-,Uncharacterized
YEL034C-A,YEL034C-A,5,85613,86215,602,-,Dubious
HYP2,YEL034W,5,85676,86149,473,+,Verified
MTC7,YEL033W,5,86179,86598,419,+,Dubious
MCM3,YEL032W,5,86937,89852,2915,+,Verified
YEL032C-A,YEL032C-A,5,87040,87201,161,-,Dubious
SPF1,YEL031W,5,90258,93905,3647,+,Verified
YEL030C-A,YEL030C-A,5,94583,94897,314,-,Dubious
ECM10,YEL030W,5,94644,96578,1934,+,Verified
BUD16,YEL029C,5,96858,97796,938,-,Verified
YEL028W,YEL028W,5,98668,99129,461,+,Dubious
CUP5,YEL027W,5,100769,101251,482,+,Verified
SNU13,YEL026W,5,101943,102323,380,+,Verified
YEL025C,YEL025C,5,102581,106147,3566,-,Uncharacterized
RIP1,YEL024W,5,107260,107907,647,+,Verified
YEL023C,YEL023C,5,108504,110552,2048,-,Uncharacterized
GEA2,YEL022W,5,111421,115800,4379,+,Verified
URA3,YEL021W,5,116167,116970,803,+,Verified
YEL020C-B,YEL020C-B,5,117183,117380,197,-,Dubious
TIM9,YEL020W-A,5,117211,117474,263,+,Verified
YEL020C,YEL020C,5,118617,120299,1682,-,Uncharacterized
MMS21,YEL019C,5,120498,121301,803,-,Verified
YEL018C-A,YEL018C-A,5,121455,121988,533,-,Dubious
EAF5,YEL018W,5,121471,122310,839,+,Verified
PMP2,YEL017C-A,5,122798,122929,131,-,Verified
GTT3,YEL017W,5,123657,124670,1013,+,Verified
NPP2,YEL016C,5,124737,126218,1481,-,Verified
EDC3,YEL015W,5,126629,128284,1655,+,Verified
YEL014C,YEL014C,5,128303,128608,305,-,Dubious
VAC8,YEL013W,5,128825,130561,1736,+,Verified
UBC8,YEL012W,5,131772,132551,779,+,Verified
GLC3,YEL011W,5,133120,135234,2114,+,Verified
YEL010W,YEL010W,5,136279,136629,350,+,Dubious
YEL009C-A,YEL009C-A,5,136371,136778,407,-,Dubious
GCN4,YEL009C,5,138918,139763,845,-,Verified
YEL008W,YEL008W,5,140512,140892,380,+,Dubious
YEL008C-A,YEL008C-A,5,140726,140818,92,-,Dubious
YEL007W,YEL007W,5,141891,143891,2000,+,Uncharacterized
YEA6,YEL006W,5,144326,145333,1007,+,Verified
VAB2,YEL005C,5,145906,146754,848,-,Verified
YEA4,YEL004W,5,146950,147978,1028,+,Verified
GIM4,YEL003W,5,148175,148598,423,+,Verified
WBP1,YEL002C,5,148721,150013,1292,-,Verified
IRC22,YEL001C,5,150300,150977,677,-,Verified
MNN1,YER001W,5,153519,155807,2288,+,Verified
NOP16,YER002W,5,156802,157497,695,+,Verified
PMI40,YER003C,5,157735,159117,1382,-,Verified
FMP52,YER004W,5,159579,160274,695,+,Verified
YND1,YER005W,5,160549,162441,1892,+,Verified
NUG1,YER006W,5,162722,164284,1562,+,Verified
YER006C-A,YER006C-A,5,164343,164660,317,-,Dubious
PAC2,YER007W,5,164526,166082,1556,+,Verified
TMA20,YER007C-A,5,166236,166884,648,-,Verified
SEC3,YER008C,5,167807,171817,4010,-,Verified
NTF2,YER009W,5,172114,172491,377,+,Verified
YER010C,YER010C,5,172633,173337,704,-,Verified
TIR1,YER011W,5,175247,176011,764,+,Verified
PRE1,YER012W,5,177834,178430,596,+,Verified
PRP22,YER013W,5,178840,182277,3437,+,Verified
HEM14,YER014W,5,182599,184218,1619,+,Verified
BUD25,YER014C-A,5,183730,184699,969,-,Verified
FAA2,YER015W,5,184540,186774,2234,+,Verified
BIM1,YER016W,5,188276,189310,1034,+,Verified
AFG3,YER017C,5,189502,191787,2285,-,Verified
SPC25,YER018C,5,191958,192623,665,-,Verified
ISC1,YER019W,5,192796,194229,1433,+,Verified
SBH2,YER019C-A,5,194272,194538,266,-,Verified
GPA2,YER020W,5,195167,196516,1349,+,Verified
RPN3,YER021W,5,196947,198518,1571,+,Verified
SRB4,YER022W,5,198811,200874,2063,+,Verified
PRO3,YER023W,5,201075,201935,860,+,Verified
YER023C-A,YER023C-A,5,201521,201733,212,-,Dubious
YAT2,YER024W,5,202191,204962,2771,+,Verified
GCD11,YER025W,5,205250,206833,1583,+,Verified
CHO1,YER026C,5,207643,208473,830,-,Verified
GAL83,YER027C,5,208978,210231,1253,-,Verified
MIG3,YER028C,5,210691,211875,1184,-,Verified
SMB1,YER029C,5,212586,213176,590,-,Verified
CHZ1,YER030W,5,213436,213897,461,+,Verified
YPT31,YER031C,5,214075,214746,671,-,Verified
FIR1,YER032W,5,215062,217692,2630,+,Verified
ZRG8,YER033C,5,218056,221286,3230,-,Verified
YER034W,YER034W,5,221845,222402,557,+,Uncharacterized
EDC2,YER035W,5,222638,223075,437,+,Verified
ARB1,YER036C,5,223366,225198,1832,-,Verified
PHM8,YER037W,5,225888,226853,965,+,Verified
KRE29,YER038C,5,226857,228251,1394,-,Verified
FMP49,YER038W-A,5,228450,228830,380,+,Dubious
HVG1,YER039C,5,228455,229204,749,-,Verified
YER039C-A,YER039C-A,5,229262,229480,218,-,Uncharacterized
GLN3,YER040W,5,229794,231986,2192,+,Verified
YEN1,YER041W,5,232460,234739,2279,+,Verified
MXR1,YER042W,5,234936,235490,554,+,Verified
SAH1,YER043C,5,235769,237118,1349,-,Verified
ERG28,YER044C,5,237569,238015,446,-,Verified
MEI4,YER044C-A,5,238459,239773,1314,-,Verified
ACA1,YER045C,5,240031,241500,1469,-,Verified
SPO73,YER046W,5,243179,243610,431,+,Verified
YER046W-A,YER046W-A,5,243699,244028,329,+,Dubious
SAP1,YER047C,5,243809,246502,2693,-,Verified
CAJ1,YER048C,5,246981,248156,1175,-,Verified
ISD11,YER048W-A,5,250717,251001,284,+,Verified
TPA1,YER049W,5,251727,253661,1934,+,Verified
RSM18,YER050C,5,253970,254386,416,-,Verified
JHD1,YER051W,5,254655,256133,1478,+,Verified
HOM3,YER052C,5,256374,257957,1583,-,Verified
PIC2,YER053C,5,258736,259638,902,-,Verified
YER053C-A,YER053C-A,5,260932,261045,113,-,Uncharacterized
GIP2,YER054C,5,262051,263697,1646,-,Verified
HIS1,YER055C,5,264891,265784,893,-,Verified
FCY2,YER056C,5,266511,268112,1601,-,Verified
RPL34A,YER056C-A,5,269421,270183,762,-,Verified
HMF1,YER057C,5,270735,271124,389,-,Verified
PET117,YER058W,5,271766,272089,323,+,Verified
PCL6,YER059W,5,272622,273884,1262,+,Verified
FCY21,YER060W,5,274565,276151,1586,+,Verified
FCY22,YER060W-A,5,276570,278162,1592,+,Verified
CEM1,YER061C,5,278296,279624,1328,-,Verified
HOR2,YER062C,5,279928,280680,752,-,Verified
THO1,YER063W,5,281708,282364,656,+,Verified
YER064C,YER064C,5,282703,284220,1517,-,Uncharacterized
ICL1,YER065C,5,285239,286912,1673,-,Verified
YER066W,YER066W,5,290240,290797,557,+,Uncharacterized
YER066C-A,YER066C-A,5,291701,292201,500,-,Dubious
YER067W,YER067W,5,292064,292549,485,+,Uncharacterized
YER067C-A,YER067C-A,5,292238,292561,323,-,Dubious
MOT2,YER068W,5,293048,294811,1763,+,Verified
YER068C-A,YER068C-A,5,295299,295730,431,-,Dubious
ARG5%2C6,YER069W,5,295408,297999,2591,+,Verified
RNR1,YER070W,5,298948,301614,2666,+,Verified
YER071C,YER071C,5,301945,302325,380,-,Uncharacterized
VTC1,YER072W,5,302804,303193,389,+,Verified
ALD5,YER073W,5,304027,305589,1562,+,Verified
RPS24A,YER074W,5,306319,307192,873,+,Verified
YOS1,YER074W-A,5,307649,308119,470,+,Verified
PTP3,YER075C,5,308409,311195,2786,-,Verified
YER076C,YER076C,5,312586,313494,908,-,Uncharacterized
YER076W-A,YER076W-A,5,313386,313733,347,+,Dubious
YER077C,YER077C,5,314530,316596,2066,-,Uncharacterized
ICP55,YER078C,5,316803,318338,1535,-,Uncharacterized
YER078W-A,YER078W-A,5,318642,318806,164,+,Uncharacterized
YER079W,YER079W,5,318916,319548,632,+,Uncharacterized
YER079C-A,YER079C-A,5,319898,320236,338,-,Dubious
AIM9,YER080W,5,319959,321842,1883,+,Uncharacterized
SER3,YER081W,5,322682,324091,1409,+,Verified
UTP7,YER082C,5,324268,325932,1664,-,Verified
GET2,YER083C,5,326170,327027,857,-,Verified
YER084W,YER084W,5,327061,327447,386,+,Dubious
YER084W-A,YER084W-A,5,327594,328106,512,+,Dubious
YER085C,YER085C,5,327615,328136,521,-,Uncharacterized
ILV1,YER086W,5,328473,330203,1730,+,Verified
AIM10,YER087W,5,330572,332302,1730,+,Uncharacterized
YER087C-A,YER087C-A,5,331813,332364,551,-,Dubious
SBH1,YER087C-B,5,332578,332826,248,-,Verified
DOT6,YER088C,5,333172,335184,2012,-,Verified
YER088C-A,YER088C-A,5,335692,336015,323,-,Dubious
YER088W-B,YER088W-B,5,335923,336069,146,+,Dubious
PTC2,YER089C,5,335942,337336,1394,-,Verified
TRP2,YER090W,5,337945,339468,1523,+,Verified
YER090C-A,YER090C-A,5,338318,338407,89,-,Dubious
MET6,YER091C,5,339860,342163,2303,-,Verified
YER091C-A,YER091C-A,5,342386,342607,221,-,Dubious
IES5,YER092W,5,342851,343228,377,+,Verified
TSC11,YER093C,5,343316,347608,4292,-,Verified
AIM11,YER093C-A,5,347908,348396,488,-,Uncharacterized
PUP3,YER094C,5,348725,349342,617,-,Verified
RAD51,YER095W,5,349976,351178,1202,+,Verified
SHC1,YER096W,5,351694,353232,1538,+,Verified
YER097W,YER097W,5,355136,355465,329,+,Dubious
UBP9,YER098W,5,355462,357726,2264,+,Verified
PRS2,YER099C,5,358101,359057,956,-,Verified
UBC6,YER100W,5,359558,360310,752,+,Verified
AST2,YER101C,5,360498,361790,1292,-,Verified
RPS8B,YER102W,5,362729,363698,969,+,Verified
SSA4,YER103W,5,364585,366513,1928,+,Verified
RTT105,YER104W,5,366798,367424,626,+,Verified
NUP157,YER105C,5,367834,372009,4175,-,Verified
MAM1,YER106W,5,372322,373230,908,+,Verified
GLE2,YER107C,5,373444,374541,1097,-,Verified
YER107W-A,YER107W-A,5,374390,374710,320,+,Dubious
FLO8,YER109C,5,375211,377610,2399,-,Verified
KAP123,YER110C,5,378758,382099,3341,-,Verified
SWI4,YER111C,5,382591,385872,3281,-,Verified
LSM4,YER112W,5,387228,387791,563,+,Verified
TMN3,YER113C,5,387928,390048,2120,-,Verified
BOI2,YER114C,5,390586,393708,3122,-,Verified
SPR6,YER115C,5,394288,394863,575,-,Verified
SLX8,YER116C,5,395344,396168,824,-,Verified
RPL23B,YER117W,5,396765,397649,884,+,Verified
SHO1,YER118C,5,397948,399051,1103,-,Verified
AVT6,YER119C,5,399492,400838,1346,-,Verified
YER119C-A,YER119C-A,5,400863,401234,371,-,Dubious
SCS2,YER120W,5,401131,401865,734,+,Verified
YER121W,YER121W,5,402371,402715,344,+,Uncharacterized
GLO3,YER122C,5,402867,404348,1481,-,Verified
YCK3,YER123W,5,404809,406383,1574,+,Verified
DSE1,YER124C,5,407338,409059,1721,-,Verified
RSP5,YER125W,5,410185,412614,2429,+,Verified
NSA2,YER126C,5,413390,414175,785,-,Verified
LCP5,YER127W,5,414477,415550,1073,+,Verified
YER128W,YER128W,5,415855,416466,611,+,Uncharacterized
SAK1,YER129W,5,417277,420705,3428,+,Verified
YER130C,YER130C,5,421111,422442,1331,-,Uncharacterized
RPS26B,YER131W,5,423587,424307,720,+,Verified
PMD1,YER132C,5,425184,430445,5261,-,Verified
GLC7,YER133W,5,432491,433954,1463,+,Verified
YER133W-A,YER133W-A,5,437187,437528,341,+,Dubious
YER134C,YER134C,5,437263,437799,536,-,Uncharacterized
YER135C,YER135C,5,437948,438340,392,-,Dubious
GDI1,YER136W,5,439612,440967,1355,+,Verified
YER137C,YER137C,5,441369,441815,446,-,Uncharacterized
YER137W-A,YER137W-A,5,441571,441876,305,+,Dubious
YER138W-A,YER138W-A,5,449470,449574,104,+,Uncharacterized
RTR1,YER139C,5,450558,451238,680,-,Verified
YER140W,YER140W,5,451560,453230,1670,+,Uncharacterized
COX15,YER141W,5,453454,454914,1460,+,Verified
MAG1,YER142C,5,455141,456031,890,-,Verified
DDI1,YER143W,5,456314,457600,1286,+,Verified
UBP5,YER144C,5,457801,460218,2417,-,Verified
FTR1,YER145C,5,460521,461735,1214,-,Verified
YER145C-A,YER145C-A,5,462381,462818,437,-,Dubious
LSM5,YER146W,5,462580,462861,281,+,Verified
SCC4,YER147C,5,462963,464837,1874,-,Verified
YER147C-A,YER147C-A,5,465198,465608,410,-,Dubious
SPT15,YER148W,5,465298,466020,722,+,Verified
YER148W-A,YER148W-A,5,466180,466758,578,+,Dubious
PEA2,YER149C,5,466203,467465,1262,-,Verified
SPI1,YER150W,5,468365,468811,446,+,Verified
UBP3,YER151C,5,469681,472419,2738,-,Verified
YER152C,YER152C,5,472652,473983,1331,-,Uncharacterized
YER152W-A,YER152W-A,5,473480,474046,566,+,Dubious
PET122,YER153C,5,474036,474800,764,-,Verified
OXA1,YER154W,5,475015,476223,1208,+,Verified
BEM2,YER155C,5,476340,482843,6503,-,Verified
YER156C,YER156C,5,483320,484336,1016,-,Uncharacterized
COG3,YER157W,5,484783,487188,2405,+,Verified
YER158C,YER158C,5,488852,490573,1721,-,Uncharacterized
YER158W-A,YER158W-A,5,491482,491697,215,+,Dubious
BUR6,YER159C,5,491525,491953,428,-,Verified
SPT2,YER161C,5,499342,500343,1001,-,Verified
RAD4,YER162C,5,500625,502889,2264,-,Verified
YER163C,YER163C,5,503079,503777,698,-,Uncharacterized
CHD1,YER164W,5,505387,509793,4406,+,Verified
PAB1,YER165W,5,510368,512101,1733,+,Verified
YER165C-A,YER165C-A,5,512622,512978,356,-,Dubious
DNF1,YER166W,5,512739,517454,4715,+,Verified
BCK2,YER167W,5,518211,520766,2555,+,Verified
CCA1,YER168C,5,521024,522664,1640,-,Verified
RPH1,YER169W,5,523364,525754,2390,+,Verified
ADK2,YER170W,5,525969,526646,677,+,Verified
RAD3,YER171W,5,527077,529413,2336,+,Verified
BRR2,YER172C,5,529525,536016,6491,-,Verified
YER172C-A,YER172C-A,5,536270,536650,380,-,Dubious
RAD24,YER173W,5,536295,538274,1979,+,Verified
GRX4,YER174C,5,538429,539163,734,-,Verified
TMT1,YER175C,5,539459,540358,899,-,Verified
YER175W-A,YER175W-A,5,540645,540809,164,+,Uncharacterized
ECM32,YER176W,5,541685,545050,3365,+,Verified
BMH1,YER177W,5,545606,546409,803,+,Verified
PDA1,YER178W,5,546812,548074,1262,+,Verified
DMC1,YER179W,5,548416,549512,1096,+,Verified
ISC10,YER180C,5,549719,550522,803,-,Verified
SLO1,YER180C-A,5,550860,551117,257,-,Verified
YER181C,YER181C,5,551468,551791,323,-,Dubious
FMP10,YER182W,5,552520,553254,734,+,Uncharacterized
FAU1,YER183C,5,553329,553964,635,-,Verified
YER184C,YER184C,5,556291,558675,2384,-,Uncharacterized
PUG1,YER185W,5,559449,560360,911,+,Verified
YER186C,YER186C,5,561700,562620,920,-,Uncharacterized
YER187W,YER187W,5,566225,566650,425,+,Uncharacterized
YER188W,YER188W,5,568035,568754,719,+,Dubious
YER188C-A,YER188C-A,5,569603,569902,299,-,Uncharacterized
YER189W,YER189W,5,571150,571518,368,+,Uncharacterized
YRF1-2,YER190W,5,571475,576520,5045,+,Verified
YER190C-A,YER190C-A,5,574799,575374,575,-,Dubious
YER190C-B,YER190C-B,5,575675,576157,482,-,Uncharacterized
YFL068W,YFL068W,6,53,535,482,+,Uncharacterized
YFL067W,YFL067W,6,836,1363,527,+,Uncharacterized
YFL066C,YFL066C,6,1437,2615,1178,-,Uncharacterized
YFL065C,YFL065C,6,3030,3338,308,-,Uncharacterized
YFL064C,YFL064C,6,3322,3846,524,-,Uncharacterized
YFL063W,YFL063W,6,5066,5521,455,+,Dubious
COS4,YFL062W,6,6426,7565,1139,+,Verified
DDI2,YFL061W,6,9545,10222,677,+,Uncharacterized
SNO3,YFL060C,6,10301,10969,668,-,Verified
SNZ3,YFL059W,6,11363,12259,896,+,Verified
THI5,YFL058W,6,12929,13951,1022,+,Verified
AAD16,YFL057C,6,14305,14763,458,-,Verified
AAD6,YFL056C,6,14793,15431,638,-,Verified
AGP3,YFL055W,6,17004,18680,1676,+,Verified
YFL054C,YFL054C,6,20847,22787,1940,-,Uncharacterized
DAK2,YFL053W,6,23423,25198,1775,+,Verified
YFL052W,YFL052W,6,28232,29629,1397,+,Uncharacterized
YFL051C,YFL051C,6,30058,30540,482,-,Uncharacterized
ALR2,YFL050C,6,33272,35848,2576,-,Verified
SWP82,YFL049W,6,36803,38674,1871,+,Verified
EMP47,YFL048C,6,38843,40180,1337,-,Verified
RGD2,YFL047W,6,40421,42565,2144,+,Verified
FMP32,YFL046W,6,42815,43438,623,+,Uncharacterized
SEC53,YFL045C,6,43628,44392,764,-,Verified
OTU1,YFL044C,6,44655,45560,905,-,Verified
YFL042C,YFL042C,6,45720,47744,2024,-,Uncharacterized
YFL041W-A,YFL041W-A,6,48734,48925,191,+,Uncharacterized
FET5,YFL041W,6,49139,51007,1868,+,Verified
YFL040W,YFL040W,6,51350,52972,1622,+,Uncharacterized
ACT1,YFL039C,6,53260,54695,1435,-,Verified
YPT1,YFL038C,6,55365,55985,620,-,Verified
TUB2,YFL037W,6,56335,57708,1373,+,Verified
RPO41,YFL036W,6,58781,62836,4055,+,Verified
MOB2,YFL034C-B,6,63015,63992,977,-,Verified
RPL22B,YFL034C-A,6,64242,64931,689,-,Verified
YFL034W,YFL034W,6,65475,68696,3221,+,Uncharacterized
RIM15,YFL033C,6,69113,74425,5312,-,Verified
YFL032W,YFL032W,6,74870,75190,320,+,Dubious
HAC1,YFL031W,6,75177,76145,968,+,Verified
YFL031C-A,YFL031C-A,6,76012,76113,101,-,Dubious
AGX1,YFL030W,6,76829,77986,1157,+,Verified
CAK1,YFL029C,6,78053,79159,1106,-,Verified
CAF16,YFL028C,6,79342,80211,869,-,Verified
GYP8,YFL027C,6,80417,81910,1493,-,Verified
STE2,YFL026W,6,82578,83873,1295,+,Verified
BST1,YFL025C,6,84143,87232,3089,-,Verified
EPL1,YFL024C,6,87845,90343,2498,-,Verified
BUD27,YFL023W,6,90984,93374,2390,+,Verified
FRS2,YFL022C,6,93497,95008,1511,-,Verified
YFL021C-A,YFL021C-A,6,95759,96613,854,-,Dubious
GAT1,YFL021W,6,95964,97496,1532,+,Verified
PAU5,YFL020C,6,99225,99593,368,-,Verified
YFL019C,YFL019C,6,100246,100599,353,-,Dubious
LPD1,YFL018C,6,101622,103121,1499,-,Verified
SMX2,YFL017W-A,6,103693,103926,233,+,Verified
GNA1,YFL017C,6,103977,104456,479,-,Verified
MDJ1,YFL016C,6,104695,106230,1535,-,Verified
YFL015W-A,YFL015W-A,6,106409,106726,317,+,Dubious
YFL015C,YFL015C,6,106463,106957,494,-,Dubious
HSP12,YFL014W,6,107250,107579,329,+,Verified
YFL013W-A,YFL013W-A,6,107793,108596,803,+,Dubious
IES1,YFL013C,6,107846,109924,2078,-,Verified
YFL012W-A,YFL012W-A,6,109804,110178,374,+,Dubious
YFL012W,YFL012W,6,110641,111087,446,+,Uncharacterized
HXT10,YFL011W,6,112339,113979,1640,+,Verified
